field_id,name,acres,lat,lon,state,county
osm-1044624342,osm-1044624342,1115,41.9646,-88.7954,IL,DeKalb
osm-1062497604,osm-1062497604,1110,41.9148,-88.8323,IL,DeKalb
osm-1062497609,osm-1062497609,981,41.9046,-88.8002,IL,DeKalb
osm-1062497610,osm-1062497610,1140,41.9189,-88.7936,IL,DeKalb
osm-1157777856,osm-1157777856,1385,41.9418,-88.8348,IL,DeKalb
osm-1333868303,osm-1333868303,620,41.9945,-88.7639,IL,DeKalb
osm-746833241,osm-746833241,858,42.057,-88.7428,IL,DeKalb
osm-984977148,osm-984977148,933,41.8029,-88.8799,IL,DeKalb
osm-984977162,osm-984977162,1251,41.7977,-88.8997,IL,DeKalb
